dx,dy,button,rx,ry,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
12,10,0,18.871999740600586,15.726666450500488,0.38946008682250977,337.2655714874456,278,240,1846,994,61,683,59,13
11,9,0,15.92642855644226,13.030714273452759,0.39850807189941406,317.41617694056794,263,227,1846,994,61,683,59,13
12,10,0,18.871999740600586,15.726666450500488,0.40560197830200195,293.9891973507759,245,212,1846,994,61,683,59,13
10,11,0,14.47857141494751,15.92642855644226,0.4133951663970947,273.5951251255527,231,197,1846,994,61,683,59,13
10,10,0,14.47857141494751,14.47857141494751,0.42136716842651367,253.86264283980728,217,183,1846,994,61,683,59,13
12,9,0,18.871999740600586,14.15399980545044,0.4294700622558594,231.0785322465254,199,169,1846,994,61,683,59,13
11,8,0,15.103846073150635,10.984615325927734,0.43732213973999023,213.1810025474852,184,159,1846,994,61,683,59,13
12,7,0,16.4769229888916,9.611538410186768,0.4453310966491699,195.21989254948153,168,150,1846,994,61,683,59,13
12,8,0,17.37428569793701,11.582857131958008,0.45351600646972656,175.2364490045567,151,139,1846,994,61,683,59,13
10,5,0,13.318181037902832,6.659090518951416,0.4619591236114502,161.65855055279948,138,133,1846,994,61,683,59,13
9,5,0,11.753999948501587,6.5299999713897705,0.4694950580596924,149.60512242138307,127,127,1846,994,61,683,59,13
8,6,0,10.447999954223633,7.835999965667725,0.4775569438934326,137.59773268156107,117,120,1846,994,61,683,59,13
7,6,0,8.913333177566528,7.639999866485596,0.4854130744934082,127.00318468107582,109,113,1846,994,61,683,59,13
6,6,0,7.394999742507935,7.394999742507935,0.49351000785827637,117.10540438746634,102,106,1846,994,61,683,59,13
7,8,0,9.141999959945679,10.447999954223633,0.5014970302581787,103.66001645967279,93,96,1846,994,61,683,59,13
6,9,0,7.835999965667725,11.753999948501587,0.5094130039215088,90.91732712891069,86,85,1846,994,61,683,59,13
9,10,0,12.357692241668701,13.730769157409668,0.5172841548919678,73.24727599312246,74,72,1846,994,61,683,59,13
10,11,0,14.47857141494751,15.92642855644226,0.5254960060119629,52.75868534480233,60,57,1846,994,61,683,59,13
10,9,0,13.730769157409668,12.357692241668701,0.5344491004943848,35.06919393998976,47,45,1846,994,61,683,59,13
9,8,0,12.187499642372131,10.833333015441895,0.5415029525756836,19.49747468305833,35,35,1846,994,61,683,59,13
9,7,0,11.986362934112549,9.322726726531982,0.5493431091308594,5.383612025908263,24,26,1846,994,61,683,59,13
6,5,0,7.080000400543213,5.900000333786011,0.5574071407318115,-2.981487827787408,17,21,1846,994,61,683,59,13
5,5,0,5.900000333786011,5.900000333786011,0.565514087677002,-10.0,12,16,1846,994,61,683,59,13
3,3,0,2.7600000500679016,2.7600000500679016,0.57346510887146,-12.795349465914747,10,14,1846,994,61,683,59,13
1,3,0,0.8733332753181458,2.6199998259544373,0.5814130306243896,-14.379500648186692,10,12,1846,994,61,683,59,13
0,2,0,-0.0,1.5800000429153442,0.589385986328125,-15.133931252681494,10,11,1846,994,61,683,59,13
0,1,0,-0.0,0.6899999976158142,0.5972881317138672,-15.133931252681494,10,11,1846,994,61,683,59,13
-1,1,0,-0.6899999976158142,0.6899999976158142,0.605384111404419,-15.133931252681494,10,11,1846,994,61,683,59,13
-1,1,0,-0.6899999976158142,0.6899999976158142,0.613396167755127,-15.133931252681494,10,11,1846,994,61,683,59,13
-1,1,0,-0.6899999976158142,0.6899999976158142,0.6295139789581299,-15.133931252681494,10,11,1846,994,61,683,59,13
-1,0,0,-0.6899999976158142,-0.0,0.6372971534729004,-15.133931252681494,10,11,1846,994,61,683,59,13
-1,0,0,-0.6899999976158142,-0.0,0.6454441547393799,-15.133931252681494,10,11,1846,994,61,683,59,13
