dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY
-1,2,0,-0.7900000214576721,1.5800000429153442,15.645971536636353,860.5614732736216,27,-860,207,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.653959512710571,860.3279934503939,27,-860,206,133,1116,49,1363,485
0,3,0,-0.0,2.6199998259544373,15.661750555038452,859.8642429694733,27,-860,204,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.669784545898438,859.6339739960206,27,-860,203,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,15.677943706512451,859.6339739960206,27,-860,203,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,15.685820579528809,859.6339739960206,27,-860,203,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,15.693890571594238,859.4047769850466,27,-860,202,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,15.70991063117981,859.4047769850466,27,-860,202,133,1116,49,1363,485
-1,0,0,-0.6899999976158142,-0.0,15.717998504638672,859.4047769850466,27,-860,202,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,15.725995540618896,859.4047769850466,27,-860,202,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,15.741766691207886,859.4047769850466,27,-860,202,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,15.765865564346313,859.4047769850466,27,-860,202,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,15.773749589920044,859.4047769850466,27,-860,202,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,15.781850576400757,859.4047769850466,27,-860,202,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,15.789916515350342,859.4047769850466,27,-860,202,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,15.797879695892334,859.4047769850466,27,-860,202,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,15.805931568145752,859.4047769850466,27,-860,202,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,15.81401252746582,859.1766527711203,27,-860,201,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,15.821911573410034,859.1766527711203,27,-860,201,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.829792499542236,858.9496021857647,27,-860,200,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,15.837775707244873,858.7236260574427,27,-860,199,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.84585452079773,858.4987252115438,27,-860,198,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.854109525680542,858.2749004703693,27,-860,197,133,1116,49,1363,485
-1,3,0,-0.8733332753181458,2.6199998259544373,15.86186170578003,857.8304825758747,27,-860,195,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.869985580444336,857.6098910515921,27,-860,194,133,1116,49,1363,485
-1,3,0,-0.8733332753181458,2.6199998259544373,15.878094673156738,857.1719468979934,27,-860,192,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.88606071472168,856.9545958788115,27,-860,191,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.893779516220093,856.7383266328314,27,-860,190,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,15.901920557022095,856.5231399571506,27,-860,189,133,1116,49,1363,485
-2,3,0,-1.7466665506362915,2.6199998259544373,15.90981149673462,855.1188770581599,27,-859,187,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,15.917773485183716,854.9067072221033,27,-859,186,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.92598557472229,854.6956242066988,27,-859,185,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,15.934012651443481,854.4856287953719,27,-859,184,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.941974639892578,854.2767217682591,27,-859,183,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,15.949959516525269,854.0689039021938,27,-859,182,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,15.958021640777588,854.0689039021938,27,-859,182,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,15.965855598449707,853.862175970693,27,-859,181,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,15.973884582519531,853.656538743944,27,-859,180,133,1116,49,1363,485
-1,0,0,-0.6899999976158142,-0.0,15.981813669204712,853.656538743944,27,-859,180,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,15.989791631698608,853.656538743944,27,-859,180,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,15.998043537139893,853.656538743944,27,-859,180,133,1116,49,1363,485
-1,0,0,-0.6899999976158142,-0.0,16.014211654663086,853.656538743944,27,-859,180,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,16.021750688552856,853.656538743944,27,-859,180,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,16.078009605407715,853.656538743944,27,-859,180,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,16.085787534713745,853.656538743944,27,-859,180,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,16.09383249282837,853.656538743944,27,-859,180,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,16.109816551208496,853.656538743944,27,-859,180,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,16.125861644744873,853.656538743944,27,-859,180,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,16.142117500305176,853.656538743944,27,-859,180,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,16.165960550308228,853.656538743944,27,-859,180,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,16.173768520355225,853.656538743944,27,-859,180,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,16.19795250892639,853.656538743944,27,-859,180,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,16.205957651138306,853.656538743944,27,-859,180,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,16.2220196723938,853.656538743944,27,-859,180,133,1116,49,1363,485
0,1,0,-0.0,0.6899999976158142,16.22994565963745,853.656538743944,27,-859,180,133,1116,49,1363,485
-1,2,0,-0.7900000214576721,1.5800000429153442,16.23780059814453,853.4519929887903,27,-859,179,133,1116,49,1363,485
-1,1,0,-0.6899999976158142,0.6899999976158142,16.245721578598022,853.4519929887903,27,-859,179,133,1116,49,1363,485
0,2,0,-0.0,1.5800000429153442,16.25393271446228,853.2485394687186,27,-859,178,133,1116,49,1363,485
-1,3,0,-0.8733332753181458,2.6199998259544373,16.261781692504883,852.8449121709039,27,-859,176,133,1116,49,1363,485
-2,3,0,-1.7466665506362915,2.6199998259544373,16.27013063430786,851.4655904146091,27,-858,174,133,1116,49,1363,485
-2,3,0,-1.7466665506362915,2.6199998259544373,16.278013706207275,850.0898123190774,27,-857,172,133,1116,49,1363,485
-3,5,0,-3.035999894142151,5.0599998235702515,16.28602647781372,846.175269701455,27,-854,167,133,1116,49,1363,485
