dx,dy,button,rx,ry,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
0,0,0,-0.0,-0.0,0.06750774383544922,1621.9990864796484,-1640,81,112,1125,41,1752,1044,20
0,1,0,-0.0,0.6899999976158142,0.07879066467285156,1621.9990864796484,-1640,81,112,1125,41,1752,1044,20
0,1,0,-0.0,0.6899999976158142,0.09463381767272949,1621.9990864796484,-1640,81,112,1125,41,1752,1044,20
-1,0,0,-0.6899999976158142,-0.0,0.1025547981262207,1621.9990864796484,-1640,81,112,1125,41,1752,1044,20
0,1,0,-0.0,0.6899999976158142,0.1106576919555664,1621.9990864796484,-1640,81,112,1125,41,1752,1044,20
-1,0,0,-0.6899999976158142,-0.0,0.1267256736755371,1621.9990864796484,-1640,81,112,1125,41,1752,1044,20
-1,0,0,-0.6899999976158142,-0.0,0.13461065292358398,1621.9990864796484,-1640,81,112,1125,41,1752,1044,20
-3,0,0,-2.6199998259544373,-0.0,0.14261865615844727,1620.0015243895355,-1638,81,112,1125,41,1752,1044,20
-3,-1,0,-2.6199998259544373,-0.8733332753181458,0.1506657600402832,1618.0039682491615,-1636,81,112,1125,41,1752,1044,20
-4,-1,0,-3.680000066757202,-0.9200000166893005,0.15869784355163574,1615.0076452420642,-1633,81,112,1125,41,1752,1044,20
-6,-2,0,-6.670000076293945,-2.2233333587646484,0.1666557788848877,1609.1157110530853,-1627,83,112,1125,41,1752,1044,20
-6,-3,0,-6.670000076293945,-3.3350000381469727,0.17470073699951172,1603.2797047952026,-1621,86,112,1125,41,1752,1044,20
-11,-6,0,-14.895832896232605,-8.124999761581421,0.18273568153381348,1589.7468745116419,-1607,94,112,1125,41,1752,1044,20
-13,-6,0,-18.822142839431763,-8.687142848968506,0.19059967994689941,1572.2703916106711,-1589,102,112,1125,41,1752,1044,20
-16,-7,0,-28.404706954956055,-12.427059292793274,0.19864678382873535,1545.157180605194,-1561,114,112,1125,41,1752,1044,20
-18,-8,0,-34.844210386276245,-15.486315727233887,0.20667362213134766,1512.4392320741465,-1527,129,112,1125,41,1752,1044,20
-23,-9,0,-51.06958603858948,-19.98375105857849,0.21462583541870117,1463.4014965611973,-1476,148,112,1125,41,1752,1044,20
-24,-8,0,-54.32640266418457,-18.108800888061523,0.22261762619018555,1411.6563833546093,-1422,166,112,1125,41,1752,1044,20
-26,-7,0,-59.890000343322754,-16.12423086166382,0.23067378997802734,1355.0974510921035,-1363,182,112,1125,41,1752,1044,20
-24,-6,0,-53.29000282287598,-13.322500705718994,0.2385728359222412,1304.433841307296,-1310,195,112,1125,41,1752,1044,20
-25,-6,0,-56.59000277519226,-13.581600666046143,0.24660468101501465,1251.1333525637663,-1254,208,112,1125,41,1752,1044,20
-22,-4,0,-46.69000005722046,-8.489090919494629,0.2548027038574219,1207.1593213597002,-1208,216,112,1125,41,1752,1044,20
-17,-3,0,-30.180001139640808,-5.32588255405426,0.2626357078552246,1178.5512087516329,-1178,221,112,1125,41,1752,1044,20
-15,-2,0,-23.589999675750732,-3.1453332901000977,0.2706747055053711,1156.5207180496227,-1155,224,112,1125,41,1752,1044,20
-11,0,0,-14.649999141693115,-0.0,0.2786397933959961,1142.7798587866923,-1141,224,112,1125,41,1752,1044,20
-8,0,0,-9.859999656677246,-0.0,0.286740779876709,1133.9497389401324,-1132,224,112,1125,41,1752,1044,20
-9,0,0,-11.459999799728394,-0.0,0.29462671279907227,1123.1609685429257,-1121,224,112,1125,41,1752,1044,20
-9,2,0,-11.459999799728394,2.5466666221618652,0.30271267890930176,1111.9823320175983,-1110,222,112,1125,41,1752,1044,20
-11,3,0,-14.649999141693115,3.9954543113708496,0.3106667995452881,1097.665871358699,-1096,219,112,1125,41,1752,1044,20
-12,4,0,-16.249999523162842,5.416666507720947,0.3187258243560791,1080.9977293346249,-1080,214,112,1125,41,1752,1044,20
-14,4,0,-20.269999980926514,5.791428565979004,0.3265657424926758,1060.4077933817398,-1060,209,112,1125,41,1752,1044,20
-15,5,0,-23.589999675750732,7.863333225250244,0.33472275733947754,1036.4908896909617,-1037,202,112,1125,41,1752,1044,20
