dx,dy,rx,ry,button,time,targetX,targetY,targetSize,distance,directionX,directionY
0,3,-0.0,2.180000066757202,0,1.3387115001678467,133,24,53,955.5694637230723,-828,-477
-1,3,-0.7266666889190674,2.180000066757202,0,1.338719367980957,133,24,53,955.5694637230723,-828,-477
-1,4,-0.7674999833106995,3.069999933242798,0,1.3400044441223145,133,24,53,955.5694637230723,-828,-477
-1,2,-0.6549999713897705,1.309999942779541,0,1.3420114517211914,133,24,53,955.5694637230723,-828,-477
-1,3,-0.7266666889190674,2.180000066757202,0,1.3461904525756836,133,24,53,955.5694637230723,-828,-477
0,3,-0.0,2.180000066757202,0,1.3462023735046387,133,24,53,955.5694637230723,-828,-477
-1,3,-0.7266666889190674,2.180000066757202,0,1.3481545448303223,133,24,53,955.5694637230723,-828,-477
-1,3,-0.7266666889190674,2.180000066757202,0,1.3502264022827148,133,24,53,955.5694637230723,-828,-477
0,3,-0.0,2.180000066757202,0,1.355581521987915,133,24,53,955.5694637230723,-828,-477
-1,3,-0.7266666889190674,2.180000066757202,0,1.3561244010925293,133,24,53,955.5694637230723,-828,-477
-1,2,-0.6549999713897705,1.309999942779541,0,1.356135368347168,133,24,53,955.5694637230723,-828,-477
0,3,-0.0,2.180000066757202,0,1.3581135272979736,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.3601124286651611,133,24,53,955.5694637230723,-828,-477
-1,2,-0.6549999713897705,1.309999942779541,0,1.3642075061798096,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.364222526550293,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.3659765720367432,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.36802339553833,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.374009370803833,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.3740224838256836,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.374030351638794,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.375880479812622,133,24,53,955.5694637230723,-828,-477
0,2,-0.0,1.309999942779541,0,1.3779425621032715,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.3834044933319092,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.3834545612335205,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.3838903903961182,133,24,53,955.5694637230723,-828,-477
1,1,0.5799999833106995,0.5799999833106995,0,1.3860194683074951,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.3916263580322266,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.3921303749084473,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.396101474761963,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.4012234210968018,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.4019403457641602,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.4098775386810303,133,24,53,955.5694637230723,-828,-477
0,1,-0.0,0.5799999833106995,0,1.4198904037475586,133,24,53,955.5694637230723,-828,-477
0,0,-0.0,-0.0,1,1.4382174015045166,133,24,53,955.5694637230723,-828,-477
-1,0,-0.5799999833106995,-0.0,1,0.003675699234008789,1425,821,53,1518.0490769405317,1292,797
-1,0,-0.5799999833106995,-0.0,1,0.08160972595214844,1425,821,53,1518.0490769405317,1292,797
